# Template No.           2: sn1994I (Ic-norm; +0) ; z= 0.039 +/- 0.004
#redshifted_wavelength[A] flux[arbitraty]
   4345.48975      0.491654962    
   4351.37695      0.491991788    
   4357.27148      0.492382973    
   4363.17480      0.493087679    
   4369.08545      0.494379878    
   4375.00439      0.496500313    
   4380.93115      0.499601543    
   4386.86621      0.503696561    
   4392.80908      0.508624315    
   4398.76025      0.514043868    
   4404.71924      0.519461393    
   4410.68652      0.524289668    
   4416.66162      0.527931154    
   4422.64502      0.529866338    
   4428.63672      0.529733658    
   4434.63623      0.527379930    
   4440.64404      0.522876382    
   4446.65967      0.516493976    
   4452.68359      0.508647442    
   4458.71631      0.499821842    
   4464.75635      0.490498960    
   4470.80469      0.481098145    
   4476.86133      0.471944422    
   4482.92627      0.463265628    
   4488.99951      0.455215067    
   4495.08008      0.447906584    
   4501.16992      0.441451967    
   4507.26807      0.435986042    
   4513.37402      0.431673259    
   4519.48877      0.428695709    
   4525.61084      0.427228063    
   4531.74170      0.427409023    
   4537.88135      0.429322779    
   4544.02881      0.432994068    
   4550.18457      0.438405097    
   4556.34912      0.445526779    
   4562.52148      0.454355896    
   4568.70264      0.464946598    
   4574.89160      0.477423728    
   4581.08984      0.491971016    
   4587.29541      0.508794069    
   4593.51025      0.528063595    
   4599.73291      0.549853265    
   4605.96436      0.574085772    
   4612.20410      0.600504041    
   4618.45215      0.628673434    
   4624.70898      0.658020735    
   4630.97461      0.687899649    
   4637.24805      0.717671812    
   4643.52979      0.746785581    
   4649.82080      0.774836063    
   4656.12012      0.801594555    
   4662.42773      0.827001393    
   4668.74414      0.851128638    
   4675.06885      0.874119639    
   4681.40186      0.896121383    
   4687.74414      0.917226374    
   4694.09473      0.937436044    
   4700.45361      0.956650317    
   4706.82178      0.974681139    
   4713.19873      0.991286278    
   4719.58301       1.00621045    
   4725.97705       1.01922381    
   4732.37939       1.03014958    
   4738.79004       1.03887451    
   4745.21045       1.04534769    
   4751.63867       1.04956555    
   4758.07568       1.05155385    
   4764.52148       1.05134881    
   4770.97607       1.04898393    
   4777.43896       1.04447806    
   4783.91162       1.03782594    
   4790.39258       1.02898967    
   4796.88232       1.01789105    
   4803.38037       1.00440633    
   4809.88770      0.988372266    
   4816.40381      0.969608545    
   4822.92871      0.947962761    
   4829.46191      0.923375964    
   4836.00488      0.895961404    
   4842.55664      0.866080046    
   4849.11670      0.834392369    
   4855.68604      0.801862538    
   4862.26367      0.769704044    
   4868.85156      0.739260793    
