#Wavelength[A] Flux[erg/s/cm^2/A]
3338.2942 5.22073e-18
3340.3176 -4.50628e-18
3342.3413 8.89804e-19
3344.3655 9.57483e-19
3346.3904 4.32489e-18
3348.4158 4.32053e-18
3350.4414 3.0879300000000003e-18
3352.4678 3.78165e-18
3354.4944 -1.2918300000000001e-18
3356.5217 -6.56936e-19
3358.5496 -1.3074100000000002e-18
3360.5776 8.494820000000001e-18
3362.6064 1.3999600000000001e-18
3364.6357 2.2838200000000004e-18
3366.6653 -1.91584e-18
3368.6956 2.14419e-18
3370.7263 9.6702e-19
3372.7576 9.29059e-18
3374.7893 -8.162239999999999e-20
3376.8213 3.2957700000000002e-18
3378.854 7.30443e-18
3380.8872 -9.40084e-19
3382.9207 -3.35407e-18
3384.9548 2.67888e-18
3386.9893 7.478080000000001e-18
3389.0244 1.8341400000000002e-18
3391.0598 6.7858600000000005e-18
3393.0959 1.3573200000000001e-18
3395.1323 3.09534e-18
3397.1694 7.20862e-19
3399.2068 5.01967e-18
3401.2446 4.55621e-18
3403.2832 3.14598e-18
3405.322 1.75704e-18
3407.3613 9.91766e-19
3409.4009 2.15963e-18
3411.4414 3.87501e-18
3413.4819 3.30833e-19
3415.5232 -1.6389100000000001e-19
3417.5649 6.16834e-19
3419.6069 2.10596e-18
3421.6497 4.80129e-18
3423.6926 2.3570900000000002e-18
3425.7361 1.7075600000000001e-18
3427.7803 5.85615e-18
3429.8247 4.243940000000001e-18
3431.8694 5.81486e-19
3433.9148 -3.12096e-19
3435.9607 9.87032e-19
3438.0068 1.5171000000000002e-18
3440.0537 3.37279e-18
3442.1008 3.9623100000000006e-18
3444.1484 3.1710600000000003e-18
3446.1965 1.2178000000000002e-18
3448.2451 2.5033200000000003e-18
3450.2942 4.770480000000001e-18
3452.3435 -1.99448e-18
3454.3933 -1.2362900000000002e-18
3456.4438 4.6868200000000006e-18
3458.4946 1.7301300000000001e-18
3460.5459 3.0981700000000002e-18
3462.5974 3.40415e-18
3464.6497 3.34279e-19
3466.7021 2.57162e-18
3468.7551 2.9413600000000003e-18
3470.8086 -1.20923e-18
3472.8625 7.18073e-19
3474.917 3.53591e-18
3476.9717 -5.76696e-19
3479.0269 7.14849e-19
3481.0825 3.80752e-19
3483.1387 5.03398e-19
3485.1953 -2.3714500000000002e-18
3487.2522 1.3790300000000001e-18
3489.3096 -3.8504200000000003e-19
3491.3672 -6.61754e-20
3493.4255 -2.3304300000000003e-18
3495.4844 3.1729400000000004e-18
3497.5435 4.6543400000000005e-18
3499.603 3.61659e-18
3501.6631 3.3778300000000002e-18
3503.7234 2.8296000000000003e-18
3505.7842 5.4578500000000006e-18
3507.8455 -5.64111e-19
3509.9072 3.48519e-19
3511.9692 2.85828e-18
3514.0317 -1.11405e-18
3516.0947 5.48866e-18
3518.1582 3.0565100000000004e-18
3520.2219 2.7960300000000004e-18
3522.2861 6.211870000000001e-18
3524.3508 1.6288200000000002e-18
3526.416 3.4033000000000002e-18
3528.4814 4.0061900000000006e-18
3530.5474 1.3341700000000002e-18
3532.6135 3.49684e-18
3534.6804 2.2480000000000003e-18
3536.7473 8.96719e-19
3538.8149 8.50676e-19
3540.8831 3.7381200000000004e-18
3542.9514 2.29967e-18
3545.02 5.15982e-18
3547.0894 7.1467e-18
3549.1589 4.19812e-18
3551.229 -2.22102e-19
3553.2993 3.9832900000000005e-18
3555.3701 4.79142e-18
3557.4414 2.27348e-18
3559.5132 2.9096300000000003e-18
3561.5852 4.5392300000000005e-18
3563.6577 2.51488e-18
3565.7305 4.9563800000000006e-18
3567.8037 -5.307770000000001e-19
3569.8774 1.3215500000000001e-18
3571.9514 3.11062e-18
3574.0259 6.466450000000001e-18
3576.1006 5.0602200000000005e-18
3578.176 -7.35603e-19
3580.2517 1.8355e-19
3582.3276 -2.9879600000000003e-19
3584.4041 2.09589e-18
3586.481 3.1755800000000004e-18
3588.5581 4.73279e-18
3590.6357 5.24435e-18
3592.7139 1.1646500000000002e-18
3594.7922 4.026330000000001e-18
3596.8711 2.9040800000000003e-18
3598.9502 3.3937600000000003e-18
3601.0298 1.48022e-18
3603.1099 2.4786800000000003e-18
3605.1902 4.011940000000001e-18
3607.271 2.66144e-18
3609.3521 4.55114e-18
3611.4336 1.2098000000000001e-18
3613.5154 2.9817400000000002e-18
3615.5977 -9.63218e-19
3617.6804 4.554440000000001e-18
3619.7634 2.00824e-19
3621.8467 2.29279e-18
3623.9307 -1.1936000000000001e-18
3626.0149 1.46102e-18
3628.0994 1.18604e-18
3630.1841 5.17184e-18
3632.2695 -1.74284e-19
3634.3552 1.62401e-19
3636.4414 2.8388300000000002e-18
3638.5278 2.92122e-18
3640.6145 2.9863800000000003e-18
3642.7019 4.81434e-18
3644.7893 2.0439800000000002e-18
3646.8772 3.89306e-18
3648.9656 -1.4520200000000001e-18
3651.0542 9.85261e-19
3653.1433 6.35617e-19
3655.2327 5.391450000000001e-18
3657.3225 1.91245e-18
3659.4126 1.6550900000000002e-18
3661.5032 2.4918400000000002e-18
3663.594 6.12075e-18
3665.6853 -6.15363e-19
3667.7769 3.00186e-18
3669.8689 2.7078200000000002e-18
3671.9612 2.49601e-18
3674.0537 5.28977e-18
3676.147 4.4886200000000004e-18
3678.2402 2.6133700000000003e-18
