                                                                     
   wavelen         flux     sky_flux     flux_unc  xpixel    ypixel     response   flag 
   3263.7964 -1.39503e-18  1.19688e-16  5.67505e-18     850   116.882  2.25199e+15  0     
   3265.8003  1.96138e-18  1.10562e-16  5.51194e-18     851   116.882  2.28969e+15  0     
   3267.8047 -9.45839e-19  1.10110e-16  5.38931e-18     852   116.882  2.33090e+15  0     
   3269.8098  1.90896e-18  1.05330e-16  5.29116e-18     853   116.882  2.37498e+15  0     
   3271.8152  9.77635e-18  9.20467e-17  5.13018e-18     854   116.883  2.41935e+15  0     
   3273.8213  9.79846e-18  9.39216e-17  5.10389e-18     855   116.883  2.46604e+15  0     
   3275.8279  8.96042e-19  8.67713e-17  4.74004e-18     856   116.883  2.51448e+15  0     
   3277.8352  8.91137e-20  8.42434e-17  4.62018e-18     857   116.884  2.56081e+15  0     
   3279.8430 -2.11222e-18  7.89004e-17  4.42252e-18     858   116.884  2.60325e+15  0     
   3281.8511  8.19650e-19  8.46108e-17  4.54725e-18     859   116.884  2.64433e+15  0     
   3283.8599  8.71952e-18  8.81916e-17  4.71615e-18     860   116.885  2.68661e+15  0     
   3285.8691  3.23256e-18  9.40543e-17  4.67852e-18     861   116.885  2.72769e+15  0     
   3287.8789 -1.09171e-18  9.60191e-17  4.59704e-18     862   116.886  2.76435e+15  0     
   3289.8894  1.48294e-17  1.06096e-16  5.01405e-18     863   116.886  2.79592e+15  0     
   3291.9004  7.45060e-18  1.24718e-16  5.16475e-18     864   116.887  2.82477e+15  0     
   3293.9116  1.20600e-17  1.39070e-16  5.42601e-18     865   116.887  2.85274e+15  0     
   3295.9236 -8.66209e-18  1.46229e-16  5.18554e-18     866   116.888  2.88427e+15  0     
   3297.9360  1.08184e-17  1.40198e-16  5.34962e-18     867   116.888  2.92145e+15  0     
   3299.9492  4.77641e-18  1.29647e-16  5.05791e-18     868   116.889  2.96077e+15  0     
   3301.9626  1.17852e-18  1.16477e-16  4.75200e-18     869   116.889  3.00220e+15  0     
   3303.9768  3.30495e-18  1.03084e-16  4.52739e-18     870   116.890  3.04407e+15  0     
   3305.9912  4.59730e-18  9.27450e-17  4.33901e-18     871   116.890  3.08287e+15  0     
   3308.0063  5.66883e-18  9.73553e-17  4.40508e-18     872   116.891  3.11892e+15  0     
   3310.0220  4.59899e-18  9.75359e-17  4.36106e-18     873   116.891  3.15320e+15  0     
   3312.0381  4.31660e-18  9.35503e-17  4.26218e-18     874   116.892  3.18540e+15  0     
   3314.0547  3.13425e-18  1.03338e-16  4.37960e-18     875   116.893  3.21798e+15  0     
   3316.0720  2.11775e-18  1.10153e-16  4.44527e-18     876   116.893  3.25273e+15  0     
   3318.0896  5.55457e-18  1.10302e-16  4.47145e-18     877   116.894  3.29068e+15  0     
   3320.1077  6.28374e-18  1.11033e-16  4.46175e-18     878   116.894  3.33148e+15  0     
   3322.1265  7.69439e-18  1.07459e-16  4.39444e-18     879   116.895  3.37452e+15  0     
   3324.1455  6.34832e-18  9.92492e-17  4.20881e-18     880   116.896  3.42010e+15  0     
   3326.1653  2.48387e-18  9.40549e-17  4.02720e-18     881   116.897  3.46713e+15  0     
   3328.1855  5.12796e-18  9.19454e-17  4.00357e-18     882   116.897  3.51401e+15  0     
   3330.2063  4.36874e-18  8.24286e-17  3.80107e-18     883   116.898  3.55915e+15  0     
   3332.2275 -8.82198e-19  7.78093e-17  3.60202e-18     884   116.899  3.60109e+15  0     
