# Template No.           1: sn2005cf (Ia-norm; +47) ; z= 0.132 +/- 0.003
#redshifted_wavelength[A] flux[arbitraty]
   4008.06299      0.414102852    
   4013.49268      0.416769326    
   4018.92969      0.419450432    
   4024.37451      0.422301680    
   4029.82593      0.425461143    
   4035.28540      0.429003656    
   4040.75220      0.432909995    
   4046.22632      0.437062919    
   4051.70752      0.441271901    
   4057.19678      0.445320785    
   4062.69287      0.449024588    
   4068.19678      0.452277541    
   4073.70776      0.455078393    
   4079.22656      0.457524300    
   4084.75293      0.459776878    
   4090.28662      0.462012440    
   4095.82812      0.464375556    
   4101.37646      0.466954589    
   4106.93262      0.469790399    
   4112.49609      0.472919255    
   4118.06787      0.476434410    
   4123.64648      0.480543882    
   4129.23291      0.485598058    
   4134.82715      0.492065132    
   4140.42871      0.500448942    
   4146.03760      0.511161983    
   4151.65430      0.524382651    
   4157.27881      0.539938569    
   4162.91064      0.557256103    
   4168.55029      0.575403988    
   4174.19727      0.593233109    
   4179.85254      0.609590888    
   4185.51465      0.623559356    
   4191.18506      0.634658158    
   4196.86279      0.642950118    
   4202.54834      0.649011374    
   4208.24170      0.653759718    
   4213.94287      0.658170640    
   4219.65137      0.662944317    
   4225.36768      0.668208361    
   4231.09229      0.673339188    
   4236.82373      0.676957905    
   4242.56396      0.677123189    
   4248.31152      0.671691835    
   4254.06641      0.658775985    
   4259.82959      0.637199223    
   4265.60010      0.606848061    
   4271.37939      0.568834424    
   4277.16553      0.525428116    
   4282.95996      0.479766190    
   4288.76221      0.435400128    
   4294.57227      0.395774961    
   4300.39014      0.363750428    
   4306.21631      0.341259122    
   4312.04980      0.329164505    
   4317.89160      0.327331781    
   4323.74121      0.334872782    
   4329.59863      0.350491196    
   4335.46387      0.372832388    
   4341.33740      0.400751442    
   4347.21826      0.433441043    
   4353.10742      0.470403016    
   4359.00488      0.511293530    
   4364.91016      0.555707753    
   4370.82324      0.602981746    
   4376.74463      0.652087748    
   4382.67383      0.701664090    
   4388.61133      0.750184059    
   4394.55664      0.796222985    
   4400.50977      0.838752270    
   4406.47119      0.877377808    
   4412.44092      0.912449062    
   4418.41895      0.945001781    
   4424.40430      0.976536572    
   4430.39795       1.00868332    
   4436.39990       1.04282415    
   4442.41016       1.07976770    
   4448.42871       1.11954451    
   4454.45459       1.16136491    
   4460.48926       1.20373774    
   4466.53174       1.24470687    
   4472.58252       1.28214145    
   4478.64209       1.31400478    
   4484.70898       1.33855081    
   4490.78467       1.35442555    
   4496.86865       1.36068344    
   4502.96045       1.35676050    
   4509.06104       1.34245396    
   4515.16943       1.31794596    
   4521.28613       1.28387809    
   4527.41113       1.24145401    
   4533.54443       1.19251812    
